"nom_provincia","anio","Ha_total_FyV"
"BUENOS AIRES","2009",499
"CATAMARCA","2009",734
"CHACO","2009",394
"CHUBUT","2009",536
"CORDOBA","2009",470
"CORRIENTES","2009",1401
"ENTRE RIOS","2009",220
"FORMOSA","2009",1036
"JUJUY","2009",324
"LA PAMPA","2009",49
"LA RIOJA","2009",236
"MENDOZA","2009",387
"MISIONES","2009",5340
"NEUQUEN","2009",186
"RIO NEGRO","2009",229
"SALTA","2009",60
"SAN JUAN","2009",214
"SAN LUIS","2009",44
"SANTA FE","2009",520
"SANTIAGO DEL ESTERO","2009",253
"TUCUMAN","2009",329
"BUENOS AIRES","2013",1942
"CATAMARCA","2013",308
"CHACO","2013",112
"CHUBUT","2013",90
"CORDOBA","2013",216
"CORRIENTES","2013",677
"ENTRE RIOS","2013",348
"FORMOSA","2013",235
"JUJUY","2013",642
"LA PAMPA","2013",29
"LA RIOJA","2013",383
"MENDOZA","2013",2120
"MISIONES","2013",932
"NEUQUEN","2013",117
"RIO NEGRO","2013",285
"SALTA","2013",1297
"SAN JUAN","2013",1177
"SAN LUIS","2013",11
"SANTA FE","2013",270
"SANTIAGO DEL ESTERO","2013",62
"TIERRA DEL FUEGO","2013",46
"TUCUMAN","2013",442
